Coffee_Cups,Hours_Sleep,Productivity
3,9.0556145409758,11.421315737017606
2,9.144186703066012,6.67454736976929
9,9.19668146840095,4.855358887371843
4,6.157618096940081,18.864126690024843
3,9.984782610006336,3.2997416810033062
7,7.52641375734356,16.568285272062287
8,9.43957060850295,3.885677426850487
2,6.24607057925236,16.01646392784205
7,6.55210489358556,16.454391806713108
5,7.411041029008128,18.082064940781727
5,7.22781641442091,18.63749516326743
3,8.882217915203753,9.416080205194227
5,6.651806022177318,20.80264574936669
2,8.746922485465534,5.726907600280731
4,8.09835176069898,13.975306766903087
6,6.679911672089277,23.02057990938516
1,7.98201492622347,8.621099927400271
4,6.290102429750426,18.892120581851
6,10.525308700008583,1.0
9,3.0035015183883296,1.0
2,8.009414806742559,12.024150160494958
7,4.353106136084429,1.0
6,6.661514945172897,21.94469661044681
2,6.871587865793131,17.832152101698618
8,9.261450338370526,5.056975152739631
7,5.961771681884665,17.843001984282626
5,8.962017873492666,16.10755710364495
5,5.231775039662805,15.254912845597232
7,9.020004585632298,10.7985224270689
9,6.288481837144791,11.385383200820915
9,7.110151778861678,13.274727900945695
9,6.4954320053343935,10.762983490538984
6,8.923545211173405,11.54667590282083
6,8.631609764850621,15.07748190091323
3,7.665252580876787,16.167148266954488
1,5.272197423119839,5.297797165065545
7,5.927467197954636,15.699720106343385
4,5.457135211740812,17.040351591485997
1,3.6277856698117548,1.0
8,8.89197715277507,9.859201912164803
6,6.508264710485955,20.59998563570002
6,6.492259053561554,20.5560222812132
2,9.24415335013834,3.8140587217067496
1,6.286017096420449,7.5950935957703525
2,5.739293596471104,13.440639673025315
4,6.662881569227523,19.647779896094928
2,5.300996422184656,11.735526954667582
1,7.516533653931934,10.065312312692372
7,6.4395068826037445,18.891931683215578
8,6.239092884109281,16.45086494641256
6,6.1091452419695464,17.722136158090304
4,6.840667759236983,20.283085480636505
6,7.125221688279776,20.232571972616917
3,6.220037367388717,15.140377525400856
8,6.46185109585728,15.982984718509194
2,6.877715759770977,18.715089810985248
5,6.726372796690692,19.894664176303525
1,7.046613950312521,9.073804401969209
6,5.984993795127979,16.065071746314572
2,8.506889363689735,7.399709993494234
4,7.145242266114276,22.03833162636011
6,6.244229870762684,19.885833616161413
8,7.516576326067803,13.963559255356946
8,6.888447101771928,12.638992057855962
6,4.399260468274498,4.305717859755456
4,7.51142903533244,17.700326752243562
8,5.47074069642372,11.041547162890899
8,8.40164167484696,11.722319917061176
1,6.6373755416598295,14.419870955174401
4,8.170105446086595,15.376196774680897
4,6.054672170203589,14.696334879716959
7,7.10489390071096,15.664037588902694
7,8.815365250760316,11.362848303770871
8,6.596475180377766,13.716979306006106
5,6.113774351896293,17.845191110260277
7,7.982560920672684,15.161080913694805
8,7.953492395126441,15.662181412282452
9,6.1768762998777715,9.47100337440954
3,4.021808469373356,1.0
3,6.084965533752466,17.759991013475734
4,8.016039282529633,16.305364530649186
5,5.837448715864414,18.143373772423438
1,6.983593244475706,12.66243216078985
7,6.013772593050484,16.338242721485425
9,4.101749256210925,1.0
8,5.986778234440108,15.906311756635267
5,8.009698031034569,22.402387365416057
4,3.4446212799012814,1.0
7,7.3782510257133636,15.621142576352826
5,5.22089615290088,13.727784419124268
7,7.912663104211288,18.31381239759483
1,8.07147840381048,8.473492708904281
1,6.742078097633086,11.609154216322485
3,6.745497761828167,18.551765494355337
2,5.790455954295548,14.980102107413664
2,4.981624899842551,8.903171376307562
7,9.5471393595006,6.657898105630275
2,5.702392859243308,11.279894303161635
4,9.351694196794709,9.242906719872026
2,5.710749940299735,10.731741912875467
6,7.787785585506592,19.949839942306493
8,5.293289260519548,11.976716185055405
4,7.785092525353023,19.373986590814873
5,6.511618964270317,18.788146754289574
4,6.531225758986494,18.65304716584123
3,7.915034754676675,19.938455216791613
5,6.296287952381353,18.308157818825748
9,4.857777256832353,4.921751772211701
8,8.14195834511418,13.569645472485213
8,5.2811491150265075,8.922830373531998
8,7.774775926596865,11.610146472193088
8,8.4594948179995,11.662950513642224
7,6.436759170471674,17.54772126911673
8,8.773529266137675,12.822257227224984
8,7.722675561791926,12.735094673932455
8,5.956207869782837,17.910533160889003
7,9.102143503399112,9.919606441226996
1,5.287492267390914,6.890292973952492
4,6.434949355144652,17.67529126863265
4,6.690527794571007,19.937866523242768
5,7.907835551527383,19.29777107923237
6,8.673149946071701,15.775793099562279
4,8.57918733535407,12.555690304530733
